,pageTitle,sectionTitles,imageURL,question1,answer1,distractors1,question2,answer2,distractors2,question3,answer3,distractors3,question4,answer4,distractors4,imageQuestion,imageAnswerURL,imageDistractor1,imageDistractor2,imageDistractor3
65,Skink,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Blue-toungued_skink444.jpg/320px-Blue-toungued_skink444.jpg,Which superlative best describes the Scincidae family?,Most diverse,"Largest, Smallest, Most conserved",In which habitat are skinks not found?,Arctic,"Forests, Deserts, Oceans",What color blood do Skinks have?,Green,"Blue, Red, Black",What color blood do Skinks have?,Green,"Blue, Red, Black",Which of these is a skink?,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Whitaker%27s_Skink_live_held_in_hand.jpg/320px-Whitaker%27s_Skink_live_held_in_hand.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Hemidactylus_frenatus_%28Common_House_Gecko%29_on_white_background%2C_focus_stacking.jpg/320px-Hemidactylus_frenatus_%28Common_House_Gecko%29_on_white_background%2C_focus_stacking.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Collared_Lizard.jpg/320px-Collared_Lizard.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/STONE_COLOUR_LIZARD.jpg/320px-STONE_COLOUR_LIZARD.jpg
66,Nepeta,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Catnip-blossom.jpg/320px-Catnip-blossom.jpg,The name Nepeta is a reference to a city in which ancient society?,Etruscan,"Egyptian, Namibian, Greecian",Some members Nepeta have an affect on which domestic animal?,Cats,"Dogs, Hamsters, Gerbils",Which of these is a possbile flower color for Nepeta plants?,Lavender,"Red, Orange, Yellow",How many stamens does each Nepeta flower have? ,4,"2, 6, 8",Which of these is a Nepeta?,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Calamintha_nepeta_Sturm54.jpg/320px-Calamintha_nepeta_Sturm54.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Illustration_Satureja_acinos0.jpg/320px-Illustration_Satureja_acinos0.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Paxton%27s_Magazine_of_Botany_and_Register_of_Flowering_Plants_%281838%29_%2814578178680%29.jpg/320px-Paxton%27s_Magazine_of_Botany_and_Register_of_Flowering_Plants_%281838%29_%2814578178680%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Coloured_engravings_of_heaths_%28Plate_165%29_%288450774484%29.jpg/320px-Coloured_engravings_of_heaths_%28Plate_165%29_%288450774484%29.jpg
67,Aquilegia,"Main, Etymology, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Wald-Akelei.JPG/320px-Wald-Akelei.JPG,What type of plant is Aquilegia?,Perennial,"Annual, Biennial, Triennial",What animal is the genus name Aquilegia derived from?,Eagle,"Dove, Crow, Pelican",How many leaves does each Aquilegia plant have?,5,"1, 3, 7",Where is the ring that protects Aquilegia from insects?,Stigma,"Sepal, Flower, Root",Which of these is an Aquilegia?,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Aquilegia_formosa_6742.JPG/320px-Aquilegia_formosa_6742.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Adonis_vernalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-152.jpg/320px-Adonis_vernalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-152.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Bosanemoon_%28Anemone_nemorosa%29_%28d.j.b.%29.jpg/320px-Bosanemoon_%28Anemone_nemorosa%29_%28d.j.b.%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Delphinium_elatum_var._palmatifidum_as_Delphinium_intermedium_var._palmatifidum_by_S._A._Drake._Edwards%27s_Botanical_Register_vol._24%2C_t._38_%281838%29.tif/lossless-page1-320px-Delphinium_elatum_var._palmatifidum_as_Delphinium_intermedium_var._palmatifidum_by_S._A._Drake._Edwards%27s_Botanical_Register_vol._24%2C_t._38_%281838%29.tif.png
68,Central Plaza (Hong Kong),"Main, Design",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/%E4%B8%AD%E7%92%B0%E5%BB%A3%E5%A0%B4.JPG/320px-%E4%B8%AD%E7%92%B0%E5%BB%A3%E5%A0%B4.JPG,When was Central Plaza completed?,1992,"1993, 1995, 1997",The clock at the top of the tower tells time by changing what every 15 minutes?,Color ,"Shape, Height, Music",What is the tallest part of the tower?,Office tower,"Podium block, Neon clock, Antennae",The tower is roughly similar in shape to what?,Triangle,"Cube, Sphere, Cylinder",Which of these is the Central Plaza in Hong Kong?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Hong_Kong_Central_Plaza.jpeg/320px-Hong_Kong_Central_Plaza.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Alexandra_House.JPG/320px-Alexandra_House.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Bank_of_America_Tower_2015.jpg/320px-Bank_of_America_Tower_2015.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Chater_House_2008.jpg/320px-Chater_House_2008.jpg
69,Labrador duck,"Main, Description, Diet",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/NMNH-USNM77126-01-plain.jpg/320px-NMNH-USNM77126-01-plain.jpg,Where was the last known sighting of the Labrador duck?,New York,"Richmond, Boston, Charleston",What did the Labrador duck feed on?,Molluscs,"Fish, Insects, Nuts",What color was the male Labrador duck plumage?,White and Black,"Red and Gold, Green and Silver, Brown and Black","Compared to the body, where were the Labrador duck's feet located?",Behind,"In front, Middle, To the sides",Which of these is a male Labrador duck?,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Philadelphia_Labrador_Duck.jpg/320px-Philadelphia_Labrador_Duck.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Histrionicus_histrionicus_drake_Barnegat.jpg/320px-Histrionicus_histrionicus_drake_Barnegat.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Eurasian_common_scoter.jpg/320px-Eurasian_common_scoter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Hooded_merganser_female_in_CP_%2840676%29.jpg/320px-Hooded_merganser_female_in_CP_%2840676%29.jpg
70,Lemuridae,"Main, Characteristics, Habitat",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Common_brown_lemur_%28Eulemur_fulvus%29_female_with_juvenile.jpg/320px-Common_brown_lemur_%28Eulemur_fulvus%29_female_with_juvenile.jpg,Where is Lemuridae native to?,Madacascar ,"The Congo, India, Kenya",Lemur species diversity increases in which areas?,Disturbed forests,"Undisturbed forests, less diverse forests non-seasonal forests",How much do lemurids weigh?,.7-5 kg,"6-10 kg, 11-15.6 kg, 17-20 kg","Compared to other lemurs, lemurids lack a layer in which part of their body?",Eyes,"Ears, Skin, Feet",Which of these is a Lemurid?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Ring-tailed_lemur_%28Lemur_catta%29.jpg/320px-Ring-tailed_lemur_%28Lemur_catta%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Witwanggibbon_M.jpg/320px-Witwanggibbon_M.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Nycticebus_pygmaeus_004.jpg/320px-Nycticebus_pygmaeus_004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Gorilla_bronx_zoo_anagoria.JPG/320px-Gorilla_bronx_zoo_anagoria.JPG
71,Malvales,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Alcea_setosa.jpg/320px-Alcea_setosa.jpg,Which of these is a well known member of the Malvales order?,Cacao,"Catnip, Poison Ivy, Aloe",What are many species of Malvacae known for?,Wood,"Leaves, Flowers, Sap",Which of these is a common characteristic of Malvales?,Palmate leaves,"Acuate leaves, Caudate leaves, Falcate leaves",Which adjective can be used to describe the cortex of Malvales?,Fibrous,"Hart, Disjointed, Circular",Which of these is a Malvale plant?,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hibiscus_rosa-sinensis_%27Jason%27_Flower.JPG/320px-Hibiscus_rosa-sinensis_%27Jason%27_Flower.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/AlismaPlant1.jpg/320px-AlismaPlant1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/LookZonderLook-bloem-hr.jpg/320px-LookZonderLook-bloem-hr.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Senna_occidentalis.jpg/320px-Senna_occidentalis.jpg
72,Peppered moth,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Biston_betularia_male.jpg/320px-Biston_betularia_male.jpg,Peppered moth evolution is an example of which model?,Natural selection,"Punctuated equilibrium, Adaptive radiation, Directional selection",Peppered moth evolution is an example of which model?,Natural selection,"Punctuated equilibrium, Adaptive radiation, Directional selection",The spotting pattern on peppered moths is usually what color?,Black,"Grey, Brown, White",Peppered moths mimic the form and color of what?,Twigs,"Leaves, Flowers, Roots",Which of these is a Peppered moth?,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Peppered_moth_%28sw%29_%2815197082342%29.jpg/320px-Peppered_moth_%28sw%29_%2815197082342%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Aphomia_sociella_9626.jpg/320px-Aphomia_sociella_9626.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Geometridae_-_Cosmorhoe_ocellata.JPG/320px-Geometridae_-_Cosmorhoe_ocellata.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Chloroclystis_rectangulata01.jpg/320px-Chloroclystis_rectangulata01.jpg
73,Luxor Las Vegas,"Main, Attractions",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Las_Vegas_Luxor_04.jpg/320px-Las_Vegas_Luxor_04.jpg,Which company operates Luxor?,MGM,"Wynn, Caesar's, Venetian",What is a current attraction hosted by Luxor?,Titanic: The Artifact Exhibition,"In Search of the Obelisk, Luxor Live, Theater of Time",What shape is the main tower of Luxor?,Pyramid,"Castle, Pirate ship, Obelisk",How many ziggurat towers are included in Luxor?,2,"4, 8, 12","Which of these is Luxor, Las Vegas?",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Luxor_pyramid_Las_Vegas.jpg/320px-Luxor_pyramid_Las_Vegas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Bellagio_Las_Vegas_December_2013_panorama.jpg/320px-Bellagio_Las_Vegas_December_2013_panorama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Excalibur_Hotel_%26_Casino_-_Las_Vegas%2C_NV.jpg/320px-Excalibur_Hotel_%26_Casino_-_Las_Vegas%2C_NV.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Las_Vegas_NY_NY_Hotel.jpg/320px-Las_Vegas_NY_NY_Hotel.jpg
74,Lombard Street (San Francisco),Main,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Lombard_Street_2020.jpg/320px-Lombard_Street_2020.jpg,Lombard Street is a part of which US highway system?,Route 101,"Route 40, Route 94, Route 395",Where is the original street that Lombard Street is named for?,Philadelphia,"New York City, Miami, Housten",Which feature of Lombard Street makes it famous?,Crookedness,"Length, Width, Location",How many turns does Lombard Street have?,8,"5, 13, 19",Which of these is Lombard Street in San Francisco?,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/San_Francisco_%28California%2C_USA%29%2C_Lombard_Street_--_2012_--_14.jpg/320px-San_Francisco_%28California%2C_USA%29%2C_Lombard_Street_--_2012_--_14.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/BalmyAlleyLookingNorth.jpg/320px-BalmyAlleyLookingNorth.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Approaching_Bernal_Heights%2C_San_Francisco%2C_California_%2826034682802%29.jpg/320px-Approaching_Bernal_Heights%2C_San_Francisco%2C_California_%2826034682802%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Kearny_St._San_Francisco_California_-_panoramio.jpg/320px-Kearny_St._San_Francisco_California_-_panoramio.jpg
75,Red slender loris,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Loris_tardigradus_tardigradus_001.jpg/320px-Loris_tardigradus_tardigradus_001.jpg,Where is the Red slender loris native to?,Sri Lanka,"India, Indonesia, South Africa",How many subspecies of Red slender loris have been identified?,2,"13, 28, 39",Which feature does the Red slender loris not have?,Tail,"Eyes, Ears, Fur",What color is the back of the Red slender loris?,Reddish brown,"Pale brown, Creamy yellow, Blueish grey",Which of these is a Red slender loris?,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Em_-_Loris_tardigradus_-_1.jpg/320px-Em_-_Loris_tardigradus_-_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Captive_N._bengalensis_from_Laos_with_6-week_baby.JPG/320px-Captive_N._bengalensis_from_Laos_with_6-week_baby.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Coucang.jpg/320px-Coucang.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Slow_Loris.jpg/320px-Slow_Loris.jpg
76,Peckforton Castle,"Main, Architecture",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Peckforton_Castle_2014.jpg/320px-Peckforton_Castle_2014.jpg, Peckforton Castle was built during which period of English architecture?,Victorian,"Elizibethan, Eduwardian, Georgian","During World War 2, Peckforton Castle was used for which purpose?",Housing handicapped children,"Shooting movies and TV, Private residence, Hosting weddings",What material is the castle faced with?,Sandstone,"Brick, Clay, Concrete",How many stories is the majority of the castle?,3,"1, 5, 8.",Which of these is Peckforton Castle?,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Peckforton_Castle_1.jpg/320px-Peckforton_Castle_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Baddiley_Hall_-_geograph.org.uk_-_272729.jpg/320px-Baddiley_Hall_-_geograph.org.uk_-_272729.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Wild_Boar_Hotel%2C_Beeston.jpg/320px-Wild_Boar_Hotel%2C_Beeston.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Doddington31.jpg/320px-Doddington31.jpg
77,Palmate newt,Main,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Lissotriton_helveticus_%2818501796441%29.jpg/320px-Lissotriton_helveticus_%2818501796441%29.jpg,Where do Palmate newts move to during breeding season?,Water,"Land, Trees, Mountains",What is the ICUN designation for Palmate newts?,Least Concern,"Endangered, Extinct, Not threatened","Unlike the smooth newt, which part of the Palmate newt is always unspotted?",Throat,"Underside, Back, Tail",What color is the body of a palmate newt?,Olive,"Red, Black, Blue",Which of these is a palmate newt?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Newt_-_geograph.org.uk_-_946789.jpg/320px-Newt_-_geograph.org.uk_-_946789.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Lissotriton_italicus.jpg/320px-Lissotriton_italicus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Triturus_vulgaris_maennchen_cropped.jpg/320px-Triturus_vulgaris_maennchen_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Red-Spotted_Newt_Eft.jpg/320px-Red-Spotted_Newt_Eft.jpg
78,Trillium erectum,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Red_Trillium_plant%2C_Mer_Bleue.jpg/320px-Red_Trillium_plant%2C_Mer_Bleue.jpg,What is another name for Trillium erectum?,Stinking Benjamin,"Smelly Albert, Foul Frank, Icky Thomas",Where is Trillium erectum native to?,Eastern US,"Western US, Eastern Europe, Western Europe",What is the common texture for Trillium erectum flowers?,Stiff,"Wavy, Soft, Light",What petal color is typically seen in Trillium erectum?,Red,"Pink, Brown, Green",Which of these is a Trillium erectum?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Trillium_erectum.JPG/320px-Trillium_erectum.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Nodding_trillium_flower_-SC_woodlot-_3.JPG/320px-Nodding_trillium_flower_-SC_woodlot-_3.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Painted_Trillium.jpg/320px-Painted_Trillium.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Trillium_grandiflorum_%27Pamela_Copeland%27.jpg/320px-Trillium_grandiflorum_%27Pamela_Copeland%27.jpg
79,White-throated dipper,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Cinclus_cinclus_-Kirkcudbright%2C_Scotland-8.jpg/320px-Cinclus_cinclus_-Kirkcudbright%2C_Scotland-8.jpg,White-throated dipper subspecies are divided primarily based on which feature?,Color,"Shape, Wing size, Beak size",What is the mating call used by male White-throated dipper?,Clink clink,"Hiss hiss, Rakk rakk, Taa taa",What feature are young White-throated dippers missing?,Belly band,"Tails, Wings, Feathers",What color is the throat of White-throated dippers?,White,"Black, Brown, Pink",Which of these is a White-throated dipper?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/White-throated_Dipper_%28Cinclus_cinclus%29_%2848660002506%29.jpg/320px-White-throated_Dipper_%28Cinclus_cinclus%29_%2848660002506%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Cinclus_pallasii_%28side%29.JPG/320px-Cinclus_pallasii_%28side%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Cinclus_schulzii_Tucuman_1.jpg/320px-Cinclus_schulzii_Tucuman_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/White-capped_Dipper_-_Colombia_S4E0638_%2816432276063%29.jpg/320px-White-capped_Dipper_-_Colombia_S4E0638_%2816432276063%29.jpg
80,Red-flanked bluetail,"Main, Habitat, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Tarsiger_cyanurus.jpg/320px-Tarsiger_cyanurus.jpg,Where does the Red-flanked bluetail spend its winters?,Southeast Asia,"Northern Europe, South Africa, Eastern Europe",Where does the Red-flanked bluetail spend its winters?,Southeast Asia,"Northern Europe, South Africa, Eastern Europe",What color are the upper parts for male Red-flanked bluetails?,Blue,"Brown, Red, White",How long is the Red-flanked bluetail?,13-14 cm,"5-6 cm, 28-29 cm, 32-33 cm",Which of these is a male Red-flanked bluetail?,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Red-flanked_Bluetail_male_Kyoto_-_Lip_Kee_2.jpg/320px-Red-flanked_Bluetail_male_Kyoto_-_Lip_Kee_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Collared_Bush_Robin.jpg/320px-Collared_Bush_Robin.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Golden_Bush_Robin_by_Jason_Thompson_%28Cropped%29.jpg/320px-Golden_Bush_Robin_by_Jason_Thompson_%28Cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Tarsiger_hyperythrus_-Eaglenest_Wildlife_Sanctuary%2C_Arunachal_Pradesh%2C_India_-male-8.jpg/320px-Tarsiger_hyperythrus_-Eaglenest_Wildlife_Sanctuary%2C_Arunachal_Pradesh%2C_India_-male-8.jpg
81,Tsing Ma Bridge,Main,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Tsing_Ma_Bridge_2.jpg/320px-Tsing_Ma_Bridge_2.jpg,What is Tsing Ma Bridge named after?,Two islands ,"Two boats, A politician, A king","On the list of the world's longest suspension bridges, where does Tsing Ma fall?",14th,"1st, 5th, 9th",How many lanes of automobile traffic does Tsing Ma bridge carry?,6,"2, 8, 12",How tall is Tsing Ma bridge?,206 m,"382 m, 595 m, 1093 m",Which of these is Tsing Ma bridge?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Tsing_Ma_Bridge.jpg/320px-Tsing_Ma_Bridge.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Cascobaybridge2.JPG/320px-Cascobaybridge2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Chongqing_bridge%2C_Dafosi_Yangtze_River_Bridge.jpg/320px-Chongqing_bridge%2C_Dafosi_Yangtze_River_Bridge.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Maslenica_bridge_P1014872mod.jpg/320px-Maslenica_bridge_P1014872mod.jpg
82,Robin accentor,"Main, Description, Behavior",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Robin_Accentor%2C_Khardung_La%2C_Ladakh%2C_India.jpg/320px-Robin_Accentor%2C_Khardung_La%2C_Ladakh%2C_India.jpg,Where are Robin accentors commonly found?,Mountains,"Rivers, Valleys, Deserts",What makes up the diet of Robin accentors?,Insects,"Small vertebrates, Fish, Plants",Which adjective describes the beak of Robin accentors?,Sharp,"Dull, Short, Round",Wat color are the Robin accentor's wing tips?,White,"Orange, Black, Brown",Which of these is a Robin accentor?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Prunella_rubeculoides_by_John_Gould.jpg/320px-Prunella_rubeculoides_by_John_Gould.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/PrunellaFaganiGronvold.jpg/320px-PrunellaFaganiGronvold.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/TharrhaleusPallidusKeulemans.jpg/320px-TharrhaleusPallidusKeulemans.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Locustella_accentor_Keulemans.jpg/320px-Locustella_accentor_Keulemans.jpg
83,African blue flycatcher,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/African_Blue_Flycatcher_-_Kibale_-_Uganda_06_4453_%2819438571632%29.jpg/320px-African_Blue_Flycatcher_-_Kibale_-_Uganda_06_4453_%2819438571632%29.jpg,What is the call of the African blue flycatcher?,Tsip,"Caww, Trill, Psst",What is the call of the African blue flycatcher?,Tsip,"Caww, Trill, Psst",Which of these features does the African blue flycatcher possess?,Long tail,"Long crest, Dull color, White legs",What do juvenile African blue flycatchers have that adults do not?,Spotting,"Stripes, Bright color, short crests",Which of these is an African blue flycatcher?,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Elminia_longicauda_-Southwest_Region%2C_Cameroon-6.jpg/320px-Elminia_longicauda_-Southwest_Region%2C_Cameroon-6.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Cyanocitta-cristata-004.jpg/320px-Cyanocitta-cristata-004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Scarlet_Flycatcher_%28Pyrocephalus_rubinus%29_male%2C_Pantanal%2C_Brazil_2.jpg/320px-Scarlet_Flycatcher_%28Pyrocephalus_rubinus%29_male%2C_Pantanal%2C_Brazil_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/La_Sagra%27s_flycatcher_%28Myiarchus_sagrae%29.JPG/320px-La_Sagra%27s_flycatcher_%28Myiarchus_sagrae%29.JPG
84,Allium ramosum,"Main, Uses",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Allium_ramosum_01.jpg/320px-Allium_ramosum_01.jpg,Allium ramosum is used to treat problems in which body part?,Stomach,"Eyes, Liver, Feet",When is Allium ramosum gathered?,May-July,"August-October, December-February, March-April",Up to how tall do Allium ramosum scapes grow?,60 cm,"30 cm, 90 cm, 120 cm",What color can Allium ramosum tepals be?,White ,"Purple, Yellow, Orange",Which of these is an Allium ramosum?,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Allium_ramosum_Czosnek_rozkrzewiony_2020-08-07_03.jpg/320px-Allium_ramosum_Czosnek_rozkrzewiony_2020-08-07_03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Alliumacuminatum.JPG/320px-Alliumacuminatum.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Elephant_Garlic_%28Allium_ampeloprasum%29_2.jpg/320px-Elephant_Garlic_%28Allium_ampeloprasum%29_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Allium_flavum_sl_2.jpg/320px-Allium_flavum_sl_2.jpg
85,Chrysiptera hemicyanea,"Main, Appearance, Reproduction",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Crysiptera_hemicyanea.jpg/320px-Crysiptera_hemicyanea.jpg,Who will stick around to protect Chrysiptera hemicyanea eggs?,Males,"Females, Grandparents, Nobody",Who will stick around to protect Chrysiptera hemicyanea eggs?,Males,"Females, Grandparents, Nobody",Where is the gold coloring on Chrysiptera hemicyanea?,Botton,"Top, Fins, Tail",What differentiates species within the Chrysiptera hemicyanea genus?,Gold coloring,"Blue coloring, Size, Fin shape",Which of these is a Chrysiptera hemicyanea?,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Azure_damsel_%28Chrysiptera_hemicyanea%29_%2839851326313%29.jpg/320px-Azure_damsel_%28Chrysiptera_hemicyanea%29_%2839851326313%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Chrysiptera_brownriggii_%28Bennett%2C_1828%29.jpg/320px-Chrysiptera_brownriggii_%28Bennett%2C_1828%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Chrysiptera_parasema.JPG/320px-Chrysiptera_parasema.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Chrysiptera_springeri.jpg/320px-Chrysiptera_springeri.jpg
86,Many-banded aracari,"Main, Description, Diet",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Many-banded_Aracari%2C_Ecuador.jpg/320px-Many-banded_Aracari%2C_Ecuador.jpg,In which of the following countries are Many-banded aracaris found?,Ecuador,"Argentina, Chile, Bolivia",What type of diet do Many-banded aracaris follow?,Frugivorous,"Herbivorous, Carnivorous, Omnivorous",What color is the top of the aracari's beak?,Ivory yellow,"Navy blue, dark red, Silvery grey",How many horizontal bands are on the aracari's body?,2,"4, 6, 8",Which of these is a many-banded aracari?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flickr_Many_banded_aracari.jpg/320px-Flickr_Many_banded_aracari.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Black-necked_aracari.jpg/320px-Black-necked_aracari.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Aracari_Castanho.jpg/320px-Aracari_Castanho.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Ivory-billed_Aracari_RWD4.jpg/320px-Ivory-billed_Aracari_RWD4.jpg
